name
Highland Masters
Stargate #48 NJSC INSTANT Qualifier & Season FINALE!! $500+ Pot Bonus
Maroon Mixups
Upset Factor
GooberWave
Pace University Smash
Scarlet Tempest
Boosting The Respect Of Our Peers
TCNJ
The Coinbox #88 - STEVE BANNED
The Coinbox #87
PBJ Presents: Holiday Palooza 2023!
"STARGATE #53 New Years Edition - Up to $1,000 Ult / $100 SF6 / $100 HDR"
Undiscovered Turbo #4 ft. $100 POT BONUS (Undiscovered Smash #282)
"STARGATE #52 up to $1,000 Pot Bonus ULT / $100 SF6 / $100 HDR"
The Coinbox IRL
"STARGATE #51 up to $1,000 Pot Bonus ULT / $100 SF6 / $100 HDR"
The Coinbox #86 - STEVE BANNED
Santa Paws
Fusion #183
Fireside Open 2023
LIL' ADRIAN'S $40 THANKSGIVING RANDUBS TOURNEY
Battle Over The Bridge 117 (The Dawn of ROA in SJ)
NJCU Gothic Gauntlet 2023 - NJCCC Event
Failsafe Fall 2023
Center Stage #20 (Farewell Current Venue)
Center Stage #19
"Stargate #45 up to $1,000 Pot Bonus Ult / $500 SF6!"
Super Smash Con 2023
Failsafe Summer 2023
Center Stage #13
Center Stage #32
Fusion #185
Fusion #184
"Stargate #50 up to $1,000 Pot Bonus ULT / $100 SF6 / $100 HDR"
Center Stage #31- Last Chance Qualifier-$150 Pot Bonus
Adventure B-Airs #412
Adventure B-Airs #410
STARGATE #49 Season 5 Premiere! UP TO $1000 Pot Bonus SSBU / $100 SF6 / $100 HDR
Fusion #182
Center Stage #29
Fusion #180
Fusion #179
Center Stage #25
Center Stage #30
Pandamonium 2023 ($1000 Pot Bonus!)
Fusion #181
Center Stage #27
Saikyo Summit Weekly #35
Center Stage #28
"B-Airs #400 | $1K Pot Bonus BTier Local Feat. Zomba, Jakal, Tilde, Goblin & more"
The Coinbox #77 (Ultimate) - STEVE BANNED
Fusion #173
Riptide 2023
Emergency Run That Back Again!
Magical Outlaws #80
Center Stage #18
Fusion #170
Center Stage #17
Saikyo Summit Weekly #36
GamerNook Weekly: The Monthly - Instant Qualifier Edition
Ringling Rollout Open #2
Luminosity Makes Moves Miami 2023
Ringling Rollout Open #1
GamerNook Weekly #19
GamerNook Weekly #18
GamerNook Weekly #17
GamerNook Weekly #16
Fusion #167
GamerNook Weekly #15
GamerNook Weekly #14
GamerNook Weekly #13
GamerNook Weekly #12
Fusion #163
Fusion #162
Center Stage #22
Fusion #176
Center Stage #21 (The Return)
Fusion #174
No Jump 119: The Cycle Begins Again
Highland Masters 58
Saikyo Summit Weekly #34: Smashed Potatoes and Drive Gravy
Saikyo Summit Weekly #33
Highland Masters 57
Highland Masters 56
Highland Haunters 55: BRING YOUR COSTUME!
Highland Masters 54
Xeno324
Waypoint Warriors 154
"Stargate #47  up to $1,000 Pot Bonus Ult / $500 SF6!"
"Stargate #46 up to $1,000 Pot Bonus Ult / $500 SF6!"
The Deadzone #14
Ultimate @ The Cave Ft. SSC
"Stargate #42 up to $1,000 Pot Bonus!!"
Battle Over The Bridge #116
Smash the Glass #6
Battle Over The Bridge #115
Battle Over The Bridge 114 + Pokemon VGC Premier Challenge
Smash Potatoes N' Gravy
"Hops & Stocks 32 (November 20th, 2023)"
RU Smashin' Fall 2023 #10
RU Smashin' Fall 2023 #9
Battle Over The Bridge #112
"Hops & Stocks 31 (November 6, 2023)"
RU Smashin' Fall 2023 #8
($100) SmU5h Weeklies (STEVE IS BANNED)
Open D/I Battle of the Best Hosted by Lights Out!
Waypoint Warriors 163
Xeno323
ContenderHV Smash Winter Seasonal 2023
Watch the Throne
The Coinbox #85 (Ultimate) - STEVE BANNED
Ultra HoG 1
The Coinbox #83 (Ultimate) - STEVE BANNED
Kingdom 157
Fusion #166
"Stargate #41 up to $1,000 Pot Bonus"
Fusion #165
"Stargate #40 up to $1,000 Pot Bonus"
Kingdom 154
Kingdom 150 Feat. HDR
Fusion #158
Emergency: Run That Back!
Batzy's Big Bass Bracket #34
"""Kave Klash"" Weeklies"
RU Smashin' Fall 2023 #12
RU Smashin' Fall 2023 #3
RU Smashin' Fall 2023 #1: We're So Back + $100 Pot Bonus!
Battle Over The Bridge 102
Pop the Bubble #37 - Summer Finale + INSTANT QUALIFIER EVENT
Smash The Glass #4
RCBC Smash
Regular B-Airs #379 - Bairs of the Kingdom
Regular B-Airs #378
Dragon Rush
RU Smashin' Spring 2023 #5
RU Smashin' Spring 2023 #4
Hyperspace Ultimate #77
The Sundown Series #50
Smash&Cash
Smashing Legends #359
SSBU Ramen Cup
Howling at the Moon 365 - Doubles
Smashing Legends #358
Howling at the Moon 360
ESG Smash Ultimate Weekly #128
METEOR 4: An HDR Regional ($300 Pot Bonus / $100 to NASB2)
Howling at the Moon 347 - Doubles
Encore Smash #222
Fusion Arcadian 5: Halloween Edition
"Stargate #44 up to $1,000 Pot Bonus Ult / $500 SF6!"
RU Smashin' Fall 2023 #11
RU Smashin' Fall 2023 #5: The Rowan Arcadian
RU Smashin' Fall 2023 #4
Catastrophe #28
South Jersey Smash League 2023 Finals
Adventure B-Airs #411
That Quarterly Jawn
That Local Jawn Weekly #82
Battle Over The Bridge #108
Battle Over The Bridge #105
Battle Over The Bridge #103
Regular B-Airs Jr. CCCXCV
Battle Over The Bridge 100
Smash Island @ Draconic Tiger Games 61
Waypoint Warriors 150
Vars Fest #5
The Coinbox #73 (Ultimate) - STEVE BANNED
Howling at the Moon 236 - Random
[VAPORWAVE WEEKLIES] #5 (Presented by Oasis Esports)
Howling at the Moon 225
Nebula #1 - Ultimate Arcadian Series
[$210] The Ultimate Show III: Grand Finale
StarStruck ($400 Prize Pool)
Smash Waves: Ultimate singles #2
Wrecko40723
BrookLAN Brawls #93: A Smash Ultimate Weekly Series
Smash Island @ Draconic Tiger Games 57
Kingdom 163
($25) Legends Guild Doubles Tournament!!!
Port Priority 8
Rise 'N Grind 2023
Stride Summit Online
Tera
Shine 2023
Smash Factor X
The Coinbox #64 (Ultimate) - STEVE BANNED
Crown the Third
MomoCon 2023
Battle of BC 5
Kawaii Kon 2023
Upset Factor:  Cabin Fever
MOS Presents: The Paint's Still Wet
Upset Factor:  Double or Nothing
Maroon Mixups #23 - RCNJ Biweekly
Maroon Mixups #22 - RCNJ Biweekly
Maroon Mixups #21 - RCNJ Biweekly
Hyperspace Ultimate #54
RNG Smash/FGC Tournament #1
Warped! 2 - Collision Series Premiere Monthly Event
Fusion #124 - Road to SSC
Failsafe 2022 ($160+ POT BONUS)
The Coinbox #21
Fusion 113
NJIT x Collision Supernova 2: Galaxy Brain
FINEST 4
Failsafe #7
Failsafe #6
Fusion OFFLINE #81 -- The Return of Melee!
($60 PRIZE POOL) Wario's Smash Down 2021 week #49
Knights of Smash #49 ($30 Prize Pool)
Battle Over The Bridge 118 (ft. Rivals!)
Hyperspace Ultimate #70
"Hops & Stocks 29 (October 9th, 2023)"
Center Stage #26
Fusion #177
Hyperspace Ultimate #76
GameQ Presents: Free Wifi Bracket
Smash Island @ Draconic Tiger Games 56
Saikyo Summit Weekly #25
Center Stage #16
SHUTDOWN ($300 Pot Bonus) ***100 Player Cap***
Center Stage #15
Center Stage #12
Center Stage #8
NCS: Tiers of the Community
Fusion #149
D.I. THOSE 5
Collision 2023
Super Smash Con 2022
mom? nation bracket
Smash the Glass #7
Hyperspace Ultimate #74
Hyperspace Ultimate #73
Hyperspace Ultimate #72 (100$ Pot Bonus)
Hyperspace Ultimate #71
Smash the Glass #10
SBY November 2023 Monthly
Smash the Glass #3: Halloween Edition
Battle Over The Bridge #110
Xeno321
GENESIS: BLACK at Guildhouse
The Coinbox #89 - STEVE BANNED
The Big House 11
"CIRQUE Du CFL 2 | FT. Muteace, Dabuz, & Zomba |  $2K POT BONUS"
"""Lit""vitational"
The Coinbox #75 (Ultimate) - STEVE BANNED
Xenosaga XLIX
Xeno310
Otakon 2023
Defend The North 2023 Powered By MSI
High Rez
Xeno300
Battle of Z x UMAD
Xeno295
Xanadu Homecoming - December 2023
Smashers Emporium #50
Smashers Emporium #49
Post-Christmas Blues | BWS #80
Wolfie Wars Monthly #3
Encore Smash #224
Smashers Emporium #45
Smashers Emporium #43
BrookLAN Brawls #98: A Smash Ultimate Weekly Series
Smashiversary 2023
Waypoint Warriors 157
BoMBS #140
Coney's Kickoff - LMMM Prelocal Powered by ROK Esports Center
BrookLAN Brawls #91: A Smash Ultimate Weekly Series
"Mecha Noodle Bar, $1,000 Smash Bros Round 2!"
Bodyhack #1 (5 YEAR ANNIVERSARY)
Round Pour! #15
Smashers Emporium #48
Smashers Emporium #47
Waypoint Warriors 162
Waypoint Warriors 161
BrookLAN Brawls #97: A Smash Ultimate Weekly Series
Waypoint Warriors 160
Waypoint Warriors 159
BrookLAN Brawls #96: A Smash Ultimate Weekly Series
Waypoint Warriors 158
BrookLAN Brawls #95: A Smash Ultimate Weekly Series
BrookLAN Brawls #94: A Smash Ultimate Weekly Series
Waypoint Warriors 156
Xeno Tetris X
